LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:5307:3000::6b
2001:660:5307:3000::67
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:1000
initial_value:90
IP_address:2001:660:4701:f080::2
0;90
638;90
716;81.25
755;38.75
1680;38.75
1716;52.5
1898;45.625
2694;52.5
2709;52.5
2747;49.0625
3728;49.0625
3760;50.703125
3931;48.8671875
4722;50.1953125
4748;50.1953125
4784;49.53125
5766;49.53125
5802;49.9560546875
5965;49.76318359375
6763;49.9658203125
6786;49.9658203125
6823;49.864501953125
7806;49.864501953125
7855;49.9151611328125
8036;49.9407958984375
8818;49.978790283203125
8847;49.978790283203125
8879;49.95979309082031
9865;49.95979309082031
9910;49.98199462890625
10035;49.99155044555664
10847;49.99232292175293
10882;49.99232292175293
10914;49.991936683654785
11893;49.991936683654785
11930;49.995105266571045
12070;49.999375343322754
12877;49.998032450675964
12910;49.998032450675964
12946;49.99870389699936
13926;49.99870389699936
13957;49.998938143253326
14097;50.00012882053852
14910;49.999592043459415
14937;49.999592043459415
14973;49.99986043199897
15953;49.99986043199897
15990;49.99981212429702
16136;50.000075148418546
16942;49.9999315594323
16969;49.9999315594323
17000;50.00000335392542
17981;50.00000335392542
18027;49.99997517326847
18170;50.00002264539944
18982;49.999991864169715
18996;49.999991864169715
19032;50.00000725478458
20014;50.00000725478458
20051;49.999999559477146
20202;50.00000566134986
21009;49.99999988986929
21031;49.99999988986929
21062;50.00000277560957
22042;50.00000277560957
22107;50.000000652603376
22258;50.00000107526944
23036;50.00000033318486
23061;50.00000033318486
23093;50.00000070422715
24072;50.00000070422715
24125;50.000000518706
24321;50.00000026881736
25097;50.0000001296765
25119;50.0000001296765
25162;50.000000199246934
26130;50.000000199246934
26164;50.000000098440424
26332;50.00000003419369
27131;50.00000004111543
27142;50.00000004111543
27177;50.00000003765456
28159;50.00000003765456
28198;50.00000002483193
28369;50.000000001271886
29155;50.00000000984625
29176;50.00000000984625
29206;50.000000005559066
30187;50.000000005559066
30217;50.000000005082114
30405;49.9999999990077
31189;50.00000000192566
31201;50.00000000192566
31236;50.000000000466684
32217;50.000000000466684
32290;50.000000000838796
32440;49.999999999573234
33229;50.00000000029904
33240;50.00000000029904
33300;49.999999999936136
34256;49.999999999936136
34294;50.00000000009618
34479;49.999999999882604
35281;50.00000000002939
35292;50.00000000002939
35361;49.999999999955996
36320;49.999999999955996
36346;50.00000000000002
36512;49.99999999997431
37280;49.99999999999817
37331;49.99999999999817
37375;49.99999999998624
38350;49.99999999998624
38392;49.999999999995865
38546;49.99999999999541
39319;49.99999999999805
39366;49.99999999999805
39416;49.99999999999673
40383;49.99999999999673
40490;49.999999999997385
40722;49.99999999999885
41343;49.999999999999346
41393;49.999999999999346
41423;49.9999999999991
42405;49.9999999999991
42440;49.99999999999953
42901;49.999999999999865
43372;49.99999999999981
43421;49.99999999999981
43456;49.999999999999844
44437;49.999999999999844
44467;49.9999999999999
44932;50.00000000000001
45404;49.99999999999996
45448;49.99999999999996
45482;49.99999999999998
46464;49.99999999999998
46495;49.99999999999997
46969;50
47434;49.999999999999986
47474;49.999999999999986
47509;49.99999999999999
48492;49.99999999999999
48528;50
48997;50
49472;50
49511;50
49545;50
50526;50
50552;50
51031;50
51504;50
51537;50
51572;50
52554;50
52584;50
53063;49.99999999999999
53542;50
53565;50
53600;50
54582;50
54618;50
55101;49.99999999999999
55592;50
55604;50
55638;50
56622;50
56660;50
57123;50
57636;50
57647;50
57681;50
58665;50
58696;50
59183;50
59667;50
59697;50
59732;50
60730;50
60760;50
61216;50
61695;50
61746;50
61781;50
62762;50
62792;50
63248;50
63722;50
63777;50
63812;50
64793;50
64831;50
65277;50
65812;50
65864;50
65903;50
66916;50
66946;50
67382;50
67855;50
67926;50
67961;50
68944;50
68979;50
69445;50
69882;50
69960;50
69995;50
70976;50
71012;50
71460;50
71915;50
71992;50
72027;50
73008;50
73486;50
74025;50
74061;50
75041;50
