LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:4701:f080::c
2001:660:4701:f080::d
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:500
initial_value:30
IP_address:2001:660:3207:400::66
0;30
180;58
344;58
397;60.25
866;60.25
904;56.5
1185;56.5
1362;58.375
1386;58.375
1425;58.375
1905;58.375
1940;55.9375
2211;55.9375
2422;55.9375
2445;54.63671875
2932;54.63671875
2966;54.302734375
3245;54.302734375
3398;54.14453125
3450;54.14453125
3484;54.14453125
3965;54.14453125
3996;54.07861328125
4265;54.07861328125
4477;54.07861328125
4506;53.62803649902344
4993;53.62803649902344
5028;53.80059051513672
5299;53.80059051513672
5430;53.71431350708008
5509;53.71431350708008
5589;53.71431350708008
6024;53.71431350708008
6058;53.75800704956055
6327;53.75800704956055
6542;53.75800704956055
6576;53.43324285745621
7061;53.43324285745621
7095;53.5805478990078
7358;53.5805478990078
7463;53.506895378232
7582;53.506895378232
7616;53.506895378232
8099;53.506895378232
8133;53.57677863538265
8389;53.57677863538265
8618;53.57677863538265
8680;53.43310515396297
9169;53.43310515396297
9204;53.51117542106658
9453;53.51117542106658
9514;53.436221917159855
9727;53.436221917159855
9762;53.436221917159855
10245;53.436221917159855
10279;53.47677348298021
10539;53.486911374435294
10761;53.486911374435294
10795;53.40751008164807
11276;53.40751008164807
11312;53.4505139043722
11564;53.429011993010135
11597;53.43976294869117
11793;53.43976294869117
11823;53.43438747085065
12304;53.43438747085065
12347;53.439111603544006
12630;53.440292636717345
12839;53.440292636717345
12873;53.3847321609972
13355;53.3847321609972
13389;53.407197315989066
13603;53.395964738493134
13663;53.4015810272411
13878;53.4015810272411
13908;53.39877288286712
14388;53.39877288286712
14418;53.402193429700745
14687;53.403048566409154
14898;53.403048566409154
14932;53.379714547533254
15414;53.379714547533254
15449;53.39209945980996
15641;53.380073498952626
15714;53.38608647938129
15930;53.38608647938129
15960;53.38307998916696
16442;53.38307998916696
16476;53.385900849462
16741;53.386606064535755
16958;53.386606064535755
16986;53.37343934738267
17473;53.37343934738267
17505;53.38052841352462
17679;53.37698388045365
17773;53.37875614698913
17986;53.37875614698913
18048;53.37787001372139
18496;53.37787001372139
18531;53.37842380710316
18844;53.37731341777916
19012;53.37731341777916
19046;53.370102732291826
19528;53.370102732291826
19565;53.373430477704495
19718;53.37176660499816
19874;53.37259854135132
20038;53.37259854135132
20068;53.37218257317474
20548;53.37218257317474
20583;53.372266036946144
20909;53.37225577280977
21063;53.37225577280977
21092;53.36764389716488
21579;53.36764389716488
21654;53.36994726895324
21834;53.36651014305954
21967;53.36822870600639
22109;53.36822870600639
22140;53.36736942453297
22638;53.36736942453297
22708;53.36801357087141
22998;53.368228233856456
23180;53.368228233856456
23209;53.3658223827211
23691;53.3658223827211
23745;53.36707897403504
23835;53.36645067837807
24029;53.366764826206555
24205;53.366764826206555
24247;53.36660775229232
24717;53.36660775229232
24751;53.36662085568092
25093;53.366346753209605
25233;53.366346753209605
