LOG_FILE:
alpha:0.5
timer_interval:1000
initial_value:52
2001:660:3207:400::70
LEGEND:
time[ms];consensus_value
FIRST_DATA
IP_address:2001:660:5307:3000::69
IP_neighbors:
2001:660:4701:f080::7
1;52
916;52
1017;54
1984;54
2056;54
3009;54
3047;54
4030;54
4087;54
5050;54
5082;54
6063;54
6159;54
7082;54
7112;54
8096;54
8160;54
9116;54
9150;54
9594;42
10132;42
10170;42
10206;39.5625
11150;39.5625
11191;37.90625
12177;37.90625
12226;44.453125
12247;40.993896491349005
12656;44.1102294956745
13196;44.1102294956745
13232;41.74432373918626
14216;41.74432373918626
14274;43.47883225010355
14310;42.04212510652178
15235;42.04212510652178
15270;41.69396009612581
15706;43.020023300844
16254;43.020023300844
16288;43.020023300844
16327;42.36005523218731
17273;42.36005523218731
17311;42.21758941159848
18292;42.21758941159848
18326;42.37112278359953
18359;42.357342816879466
18746;42.25291171981901
19313;42.25291171981901
19348;42.326333070276135
20332;42.326333070276135
20366;41.99711618389753
20390;42.35632917120979
21353;42.35632917120979
21415;42.53425702129219
21783;42.183382381000214
22410;42.183382381000214
22423;42.552219227623915
22445;42.552219227623915
23432;42.552219227623915
23468;42.692778320899265
24454;42.692778320899265
24481;42.91929566307387
24492;42.283166863984455
24837;41.740316142735054
25474;41.740316142735054
25504;42.329805902904454
26493;42.329805902904454
26516;42.59043701403411
26538;41.87711273675217
27549;41.87711273675217
27578;42.514681396915705
27874;41.88725044194862
28566;42.36035808447304
28606;42.36035808447304
28636;42.123804263210836
29642;42.123804263210836
29691;42.643449395450816
30579;42.643449395450816
30664;42.643449395450816
30698;41.9052829427695
30909;41.47919265551494
31681;41.47919265551494
31717;42.36101505443749
32653;42.58147065416812
32701;42.58147065416812
32734;41.687624640449386
33721;41.687624640449386
33756;42.39011150151809
33953;41.81540656755405
34688;42.27838074980325
34737;42.27838074980325
34770;42.04689365867865
35756;42.04689365867865
35792;42.54707173105825
36726;42.672116249153156
36776;42.672116249153156
36809;41.940698219113905
36997;41.55999053658557
37792;41.55999053658557
37990;42.3223751311518
38809;42.3223751311518
38823;42.512971279793355
38845;41.83896722260705
39830;41.83896722260705
39867;42.35941401601991
40042;41.835391530696135
40848;41.835391530696135
40864;42.358103587962006
40877;42.358103587962006
41866;42.358103587962006
41906;42.553956805929474
42887;42.553956805929474
42907;42.700824494888636
42924;42.03740117612409
43077;41.96396733164452
43907;41.96396733164452
43967;42.452141942818116
44943;42.6041221029994
44957;42.6041221029994
44989;41.818071689486956
45974;41.818071689486956
46050;42.4043418392193
46117;41.91469416097502
46987;42.306085537530244
46994;42.306085537530244
47022;42.11038984925263
48004;42.11038984925263
48041;42.57187839272713
49016;42.761410384121554
49026;42.761410384121554
49059;42.12445658165632
49148;42.12445658165631
50048;42.12445658165631
50084;42.53769947858615
51054;42.72243495321943
51064;42.72243495321943
51097;42.00701926745491
52082;42.00701926745491
52122;42.477451035254006
52181;42.06338122991333
53084;42.48118984475976
53101;42.48118984475976
53133;42.27228553733654
54117;42.27228553733654
54153;42.53388327280379
55118;42.711883330597296
55134;42.711883330597296
55167;42.21468139152351
55221;42.21468139152351
56149;42.21468139152351
56186;42.55228238995714
57160;42.55228238995714
57198;42.71912040597662
57216;42.192854764337994
58180;42.192854764337994
58214;42.53940659316706
58286;42.151145260333145
59197;42.151145260333145
59259;42.54354965653295
59348;42.543549656532946
