LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:3207:400::69
2001:660:4701:f080::e
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:500
initial_value:94
IP_address:2001:660:4701:f080::4
0;94
372;94
452;76.25
757;76.25
923;76.25
1440;76.25
1478;71.8125
1802;70.703125
1962;70.703125
2484;70.703125
2518;70.42578125
2905;70.42578125
3004;70.42578125
3524;70.42578125
3556;70.3564453125
3946;70.339111328125
4035;70.339111328125
4555;70.339111328125
4589;70.33477783203125
4982;70.33477783203125
5075;70.33477783203125
5595;70.33477783203125
5629;70.33369445800781
6008;70.33342361450195
6114;70.33342361450195
6636;70.33342361450195
6670;70.33335590362549
7042;70.33335590362549
7154;70.33335590362549
7671;70.33335590362549
7705;70.33333897590637
8073;70.3333347439766
8192;70.3333347439766
8708;70.3333347439766
8737;70.33333368599415
9106;70.33333368599415
9218;70.33333368599415
9275;61.166666842997074
9618;48.875000132247806
9736;48.875000132247806
9770;52.8125000661239
10136;53.79687504959293
10257;53.79687504959293
10285;51.335937590920366
10776;51.335937590920366
10809;51.56850739341462
11169;51.56850739341462
11293;51.56850739341462
11318;47.30834227212472
11811;47.30834227212472
11841;49.24709255168273
12210;49.73178012157223
12322;49.73178012157223
12349;48.520061196848474
12704;46.116120130334366
12838;46.116120130334366
12881;47.82472232675423
13244;47.82472232675423
13348;47.82472232675423
13373;46.970421228544296
13866;46.970421228544296
13908;47.79991537695446
14276;48.007288914057
14376;48.007288914057
14401;45.919627805898514
14895;45.919627805898514
14929;47.037408439815984
15311;47.037408439815984
15414;47.037408439815984
15434;45.55879014171736
15782;45.55879014171736
15939;45.55879014171736
15968;46.59603196920559
16344;46.85534242607765
16450;46.85534242607765
16475;46.207066283897504
16966;46.207066283897504
17000;46.702262811310064
17380;46.702262811310064
17484;46.702262811310064
17509;45.636693450810746
18000;45.636693450810746
18029;46.33604187699417
18415;46.51087898354003
18511;46.51087898354003
18532;45.80739387705056
18844;45.80739387705056
19027;45.80739387705056
19056;46.30756893193022
19448;46.30756893193021
19537;46.30756893193021
19562;46.05748140449039
20053;46.05748140449039
20082;46.34467705733894
20479;46.41647597055109
20568;46.41647597055109
20593;45.577743082537324
21084;45.577743082537324
21118;46.10733239846776
21520;46.10733239846776
21594;46.10733239846776
21638;45.423983315626074
21878;45.423983315626074
22110;45.423983315626074
22170;45.92561090401041
22566;45.92561090401041
22621;45.92561090401041
22646;45.67479710981824
23139;45.67479710981824
23213;46.001652792170376
23603;46.00165279217038
23649;46.00165279217038
23673;45.40141190272847
24165;45.40141190272847
24234;45.83360846435147
24636;45.83360846435147
24835;45.83360846435147
24861;45.358246699113025
24915;45.358246699113025
25350;45.358246699113025
25376;45.77784128217503
25672;45.777841282175025
25858;45.777841282175025
25877;45.56804399064403
26369;45.56804399064403
26401;45.882739927940534
26711;45.882739927940534
26887;45.882739927940534
26911;45.365282871793475
27404;45.365282871793475
27438;45.72404960459184
27749;45.72404960459184
27922;45.72404960459184
